# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.0030   0.0600   0.0473   Lower   CK ^ -> Q v    water_level_r_reg[2]
0.0030   0.0600   0.0590   Lower   CK ^ -> Q v    burglar_alarm_out_r_reg
0.0030   0.0600   0.3376   Lower   CK ^ -> QN v    burglar_alarm_out_r_reg
0.0030   0.0600   0.0553   Lower   CK ^ -> Q v    light_sensor_r_reg[5]
0.0030   0.0600   0.0575   Lower   CK ^ -> Q v    light_sensor_r_reg[6]
0.0030   0.0600   0.0547   Lower   CK ^ -> Q v    light_sensor_r_reg[4]
0.0030   0.0600   0.0538   Lower   CK ^ -> Q v    light_sensor_r_reg[3]
0.0030   0.0600   0.0486   Lower   CK ^ -> Q v    cooler_on_r_reg
0.0030   0.0600   0.3657   Lower   CK ^ -> QN v    cooler_on_r_reg
0.0030   0.0600   0.0554   Lower   CK ^ -> Q v    light_sensor_r_reg[1]
0.0030   0.0600   0.0556   Lower   CK ^ -> Q v    light_sensor_r_reg[2]
0.0030   0.0600   0.0551   Lower   CK ^ -> Q v    light_sensor_r_reg[7]
0.0030   0.0600   0.0479   Lower   CK ^ -> Q v    light_sensor_r_reg[0]
