# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.0053   0.0168   0.0608   Lower   RN v -> Q v    temp_sensor_r_reg[2]
0.0053   0.0168   0.0407   Lower   RN v -> Q v    temp_sensor_r_reg[1]
0.0052   0.0168   0.0453   Lower   RN v -> Q v    temp_sensor_r_reg[0]
0.0123   0.0168   0.0384   Lower   RN v -> Q v    motion_sensor_r_reg
0.0102   0.0168   0.0443   Lower   RN v -> Q v    window_manual_open_r_reg
0.0124   0.0168   0.1441   Lower   RN v -> Q v    u_window/window_state_reg[1]
0.0124   0.0168   0.1198   Lower   RN v -> Q v    u_burglar/delay_counter_reg[2]
0.0152   0.0168   0.0827   Lower   RN v -> Q v    u_burglar/delay_counter_reg[8]
0.0124   0.0168   0.1346   Lower   RN v -> Q v    u_burglar/delay_counter_reg[4]
0.0124   0.0168   0.1256   Lower   RN v -> Q v    u_burglar/delay_counter_reg[3]
0.0152   0.0168   0.0512   Lower   RN v -> Q v    humidity_sensor_r_reg[7]
0.0163   0.0168   0.0384   Lower   RN v -> Q v    humidity_sensor_r_reg[2]
0.0164   0.0168   0.0464   Lower   RN v -> Q v    humidity_sensor_r_reg[3]
